model_name,log_loss,brier,accuracy,auc,ece,mce,calibration_alpha,calibration_beta
elo_baseline,0.6847912288763927,0.2458843772287526,0.5565714285714286,0.5645964978465214,0.0111227621976437,0.2923128188968629,0.02673779468103475,0.9536631314415366
bayes_goals,0.6859879190371453,0.2465008608914286,0.5371428571428571,0.5568523583472182,0.030114742857142763,0.27173333333333327,0.03561880609465605,0.7605928409874072
goals_poisson,0.6893531987903057,0.24812753971428572,0.5314285714285715,0.5460325693985979,0.03563066666666666,0.3761111111111111,0.07495837578528067,0.602468177944979
rf,0.6941302173859866,0.2503872713713841,0.5497142857142857,0.5539784337766042,0.05440708252747803,0.12711609860238182,0.1439589526965217,0.5256065652332753
simulation_first,0.6968892271426584,0.25137689474052477,0.5291428571428571,0.5465984469804144,0.059420408163265305,0.26557142857142857,0.09013132425400869,0.3934500589486827
glm_logit,0.701354814296573,0.2540126514477985,0.49257142857142855,0.49205151581837425,0.05287799049163096,0.289119064918408,0.1091386666472236,0.06023468257951281
bayes_bt_state_space,0.7087190854689621,0.2556912561471956,0.5177142857142857,0.5135077074622486,0.04150537532335814,0.46439228621876194,0.1096923424889746,0.0748768924757292
two_stage,0.7193041289680324,0.2603911753252663,0.5017142857142857,0.49818185628805267,0.05598602606440972,0.36918719101370456,0.10740104229464388,-0.003925210282366429
dynamic_rating,0.7353757672793586,0.26666911386635705,0.5382857142857143,0.5537557504689449,0.11874704773155945,0.30963864690579684,0.08315031741785178,0.22778127560298866
gbdt,0.8723765406050928,0.30514410514750434,0.52,0.5304106804153961,0.20618581885877663,0.4234519605726034,0.10726477719746279,0.06991254857980284
