feature,missing_rate,n_unique,std,univariate_score,status,reason,retained_as,correlation_anchor,correlation_abs
away_coaching_change_indicator,0.0,1,0.0,0.0,dropped,constant_or_singleton_on_fit_window,away_coaching_change_indicator,,
away_is_home,0.0,1,0.0,0.0,dropped,constant_or_singleton_on_fit_window,away_is_home,,
away_lineup_uncertainty,0.0,1,0.0,0.0,dropped,constant_or_singleton_on_fit_window,away_lineup_uncertainty,,
away_man_games_lost_proxy,0.0,1,0.0,0.0,dropped,constant_or_singleton_on_fit_window,away_man_games_lost_proxy,,
away_season,0.0,1,0.0,0.0,dropped,constant_or_singleton_on_fit_window,away_season,,
away_season_phase_late,0.0,1,0.0,0.0,dropped,constant_or_singleton_on_fit_window,away_season_phase_late,,
away_travel_miles,0.0,1,0.0,0.0,dropped,constant_or_singleton_on_fit_window,away_travel_miles,,
away_tz_change,0.0,1,0.0,0.0,dropped,constant_or_singleton_on_fit_window,away_tz_change,,
away_xg_available,0.0,1,0.0,0.0,dropped,constant_or_singleton_on_fit_window,away_xg_available,,
diff_lineup_uncertainty,0.0,1,0.0,0.0,dropped,constant_or_singleton_on_fit_window,diff_lineup_uncertainty,,
fallback_goalie_unknown,0.0,1,0.0,0.0,dropped,constant_or_singleton_on_fit_window,fallback_goalie_unknown,,
fallback_lineup_proxy_used,0.0,1,0.0,0.0,dropped,constant_or_singleton_on_fit_window,fallback_lineup_proxy_used,,
fallback_xg_proxy_used,0.0,1,0.0,0.0,dropped,constant_or_singleton_on_fit_window,fallback_xg_proxy_used,,
home_3in4,0.0,1,0.0,0.0,dropped,constant_or_singleton_on_fit_window,home_3in4,,
home_4in6,0.0,1,0.0,0.0,dropped,constant_or_singleton_on_fit_window,home_4in6,,
home_coaching_change_indicator,0.0,1,0.0,0.0,dropped,constant_or_singleton_on_fit_window,home_coaching_change_indicator,,
home_goalie_b2b_starter,0.0,1,0.0,0.0,dropped,constant_or_singleton_on_fit_window,home_goalie_b2b_starter,,
home_goalie_starts_last14,0.0,1,0.0,0.0,dropped,constant_or_singleton_on_fit_window,home_goalie_starts_last14,,
home_goalie_starts_last7,0.0,1,0.0,0.0,dropped,constant_or_singleton_on_fit_window,home_goalie_starts_last7,,
home_goalie_uncertainty_feature,0.0,1,0.0,0.0,dropped,constant_or_singleton_on_fit_window,home_goalie_uncertainty_feature,,
home_is_home,0.0,1,0.0,0.0,dropped,constant_or_singleton_on_fit_window,home_is_home,,
home_lineup_uncertainty,0.0,1,0.0,0.0,dropped,constant_or_singleton_on_fit_window,home_lineup_uncertainty,,
home_man_games_lost_proxy,0.0,1,0.0,0.0,dropped,constant_or_singleton_on_fit_window,home_man_games_lost_proxy,,
home_penalty_diff_ewm,0.0,1,0.0,0.0,dropped,constant_or_singleton_on_fit_window,home_penalty_diff_ewm,,
home_season,0.0,1,0.0,0.0,dropped,constant_or_singleton_on_fit_window,home_season,,
home_season_phase_late,0.0,1,0.0,0.0,dropped,constant_or_singleton_on_fit_window,home_season_phase_late,,
home_travel_miles,0.0,1,0.0,0.0,dropped,constant_or_singleton_on_fit_window,home_travel_miles,,
home_tz_change,0.0,1,0.0,0.0,dropped,constant_or_singleton_on_fit_window,home_tz_change,,
home_xg_available,0.0,1,0.0,0.0,dropped,constant_or_singleton_on_fit_window,home_xg_available,,
travel_diff,0.0,1,0.0,0.0,dropped,constant_or_singleton_on_fit_window,travel_diff,,
away_days_into_season,0.0,103,31.118839765069488,0.0018858896285407433,dropped,exact_duplicate,home_days_into_season,,
away_days_into_season_spline,0.0,103,2.4410817496870396,0.000680519873477448,dropped,exact_duplicate,home_days_into_season_spline,,
away_goalie_b2b_starter,0.0,2,0.05041110557301753,0.05257672412844741,dropped,exact_duplicate,away_goalie_starts_last7,,
