feature,status,best_shape,family_hint,holdout_log_loss_gain_best,holdout_brier_gain_best,train_log_loss_gain_best,shape_gap_best,direction_changes_best,recommendation,skip_reason,n_unique,n_non_missing,smooth_holdout_log_loss_gain,hinge_holdout_log_loss_gain,smooth_holdout_brier_gain,hinge_holdout_brier_gain,smooth_shape_gap,hinge_shape_gap
away_games_played_prior,strong,hinge,mars,0.015551444369980794,0.006450902796361291,0.0036394948773780245,0.353023844681554,1,consider_piecewise_transform_or_mars,,38,507,-0.016261393733138618,0.015551444369980794,-0.002262889529166201,0.006450902796361291,0.2409318761326128,0.353023844681554
diff_player_projection_confidence,strong,hinge,mars,0.014982530315337028,0.005462924246492806,0.0008367030253726426,0.10916708010342013,2,consider_piecewise_transform_or_mars,,471,507,-0.0030758154922951864,0.014982530315337028,-0.0016510611342775983,0.005462924246492806,0.05510912878333013,0.10916708010342013
dyn_var_diff,strong,hinge,mars,0.00918418738930038,0.003200303322966447,0.002936053643843972,0.14541954018303116,2,consider_piecewise_transform_or_mars,,485,507,-0.012369145655535374,0.00918418738930038,-0.0037943457271584213,0.003200303322966447,0.07412788181204877,0.14541954018303116
diff_availability_uncertainty,strong,hinge,mars,0.006509659244905208,0.0021987807288063044,0.002653617720879131,0.13310265888680584,1,consider_piecewise_transform_or_mars,,470,507,-0.0005889547465574019,0.006509659244905208,-0.001186001659521485,0.0021987807288063044,0.03551734373211812,0.13310265888680584
away_days_into_season,strong,hinge,mars,0.0055402222857910965,0.003880651419304937,0.0025959522111166367,0.16044061946393617,2,consider_piecewise_transform_or_mars,,82,507,-0.0065285604300315825,0.0055402222857910965,-0.0011869472769973632,0.003880651419304937,0.12736402217576626,0.16044061946393617
home_days_into_season,strong,hinge,mars,0.005520155456988474,0.003942990736347685,0.0026592639153664166,0.1362182961725275,2,consider_piecewise_transform_or_mars,,81,507,0.003970788735107478,0.005520155456988474,0.0023855495132416027,0.003942990736347685,0.13854771203583677,0.1362182961725275
arena_shot_volume_effect,weak,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,,44,507,-0.00150940256249954,-0.004675071742608838,0.0008566589850880213,-0.001261870373094387,0.07933092061241709,0.0415974110706247
away_darko_like_defense,weak,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,,477,507,-0.02717692510068137,-0.032680215018437986,-0.007384775551640854,-0.010235923870706432,0.1302574008869276,0.15948124798183638
away_r5_shot_volume_share,weak,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,,491,507,-0.012483068927587104,-0.007986952141300852,-0.003529485020238532,-0.002250127269707358,0.10786963317512155,0.07631057082524206
away_rotation_top6_share,weak,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,,476,507,-0.029848628226883278,-0.019720227206041607,-0.01047783987056583,-0.006610831887733204,0.07061093019053893,0.06332990724284088
diff_projected_absence_pressure,weak,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,,89,507,-0.018295091413263354,-0.014434272007841309,-0.005844688303454693,-0.00428887502161357,0.08741273525202797,0.17387469589602594
dyn_away_mean,weak,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,,484,507,-0.004274434522746784,-0.008431349739415506,-0.0011149968545254851,-0.002408098897945965,0.046165906160196446,0.09864359782454657
