feature,missing_rate,n_unique,std,univariate_score,status,reason,retained_as,correlation_anchor,correlation_abs
time_to_first_pitch_hours,0.0,1,0.0,0.0,dropped,constant_or_singleton_on_fit_window,time_to_first_pitch_hours,,
bookmaker_dispersion_home_prob,0.0,336,0.013593130448673963,0.09532422426818575,kept,,bookmaker_dispersion_home_prob,,
bullpen_fatigue_edge,0.0,336,0.30804180716522883,0.12773651490585425,kept,,bullpen_fatigue_edge,,
bullpen_quality_edge,0.0,336,0.35311169325655284,0.0769426653736196,kept,,bullpen_quality_edge,,
day_game,0.0,2,0.4330127018922193,8.854243062681576e-17,kept,,day_game,,
division_game,0.0,2,0.5,0.047632550822954076,kept,,division_game,,
lineup_quality_edge,0.0,336,0.41593466754757624,0.08338748760095142,kept,,lineup_quality_edge,,
lineup_uncertainty_index,0.0,336,0.13126808435287815,0.09883079817534728,kept,,lineup_uncertainty_index,,
market_logit_home_prob,0.0,336,0.44983235656187787,0.21360882489157498,kept,,market_logit_home_prob,,
market_movement_home_prob,0.0,336,0.03549058686919676,0.13347587946760336,kept,,market_movement_home_prob,,
market_open_home_prob,0.0,336,0.11299812880284585,0.1682958907955857,kept,,market_open_home_prob,,
market_vig_free_home_prob,0.0,336,0.10614965653696387,0.213381355050961,kept,,market_vig_free_home_prob,,
park_run_factor,0.0,336,0.07074882146086135,0.08237911680184845,kept,,park_run_factor,,
recent_defense_edge,0.0,336,0.3326785866593001,0.04179928210711353,kept,,recent_defense_edge,,
recent_offense_edge,0.0,336,0.4686179803836916,0.02473629621440119,kept,,recent_offense_edge,,
rest_edge,0.0,5,1.460942757775471,0.030275125790362588,kept,,rest_edge,,
starter_quality_edge,0.0,336,0.4552259491471502,0.07194594851564114,kept,,starter_quality_edge,,
starter_uncertainty_index,0.0,336,0.11535016677404174,0.10995471764603883,kept,,starter_uncertainty_index,,
team_strength_edge,0.0,336,0.6142768833618841,0.173045091674505,kept,,team_strength_edge,,
temperature_f,0.0,336,11.455457391241664,0.13443961133509244,kept,,temperature_f,,
timezone_edge,0.0,7,1.9424836242258228,0.0033571057938426405,kept,,timezone_edge,,
travel_miles_edge,0.0,336,733.2928500667861,0.2042227792056451,kept,,travel_miles_edge,,
wind_out_mph,0.0,336,6.801536861847792,0.10212587963412509,kept,,wind_out_mph,,
