feature,status,best_shape,family_hint,holdout_log_loss_gain_best,holdout_brier_gain_best,train_log_loss_gain_best,shape_gap_best,direction_changes_best,recommendation,skip_reason,n_unique,n_non_missing,smooth_holdout_log_loss_gain,hinge_holdout_log_loss_gain,smooth_holdout_brier_gain,hinge_holdout_brier_gain,smooth_shape_gap,hinge_shape_gap
travel_miles_edge,strong,smooth,gam,0.011504081130309984,0.0047274415633863365,0.009648986593875142,0.10641689735223533,0,consider_spline_transform_or_gam,,235,235,0.011504081130309984,0.004840054730837928,0.0047274415633863365,0.0020352861856333393,0.10641689735223533,0.06657539442790195
market_logit_home_prob,strong,smooth,gam,0.007137424894993805,0.0018826926459959703,0.007628758838239436,0.08296931174045963,3,consider_gam,,235,235,0.007137424894993805,-0.00010815765137306421,0.0018826926459959703,-4.006200189324294e-05,0.08296931174045963,0.06007428667246417
market_vig_free_home_prob,strong,smooth,gam,0.006881873210163092,0.001795431610431053,0.007328998211223792,0.0799034922712476,3,consider_gam,,235,235,0.006881873210163092,0.0004939343056334922,0.001795431610431053,0.0002004991107049936,0.0799034922712476,0.05645345526593881
starter_quality_edge,strong,smooth,gam,0.0058201934174128,0.0025292716250447655,0.006709282925908,0.09904586648552594,3,consider_gam,,235,235,0.0058201934174128,-0.0016717549258622455,0.0025292716250447655,-0.0002839671818506695,0.09904586648552594,0.07972225789007781
bullpen_fatigue_edge,moderate,hinge,mars,0.0038413981121306895,0.004790088037463364,0.010048542659820248,0.1310809925510351,1,consider_piecewise_transform_or_mars,,235,235,-0.0033041186724535043,0.0038413981121306895,0.0012188595366753596,0.004790088037463364,0.1034811843326997,0.1310809925510351
recent_defense_edge,moderate,hinge,mars,0.003627059578817482,0.0014590675586165225,0.018328885068649936,0.1625045799876479,1,consider_piecewise_transform_or_mars,,235,235,-0.0227170385179013,0.003627059578817482,-0.007680210831774809,0.0014590675586165225,0.22145385701152093,0.1625045799876479
starter_uncertainty_index,moderate,hinge,mars,0.0009430446052729469,0.00144022349233755,0.005662433210813389,0.06303626272948659,1,consider_piecewise_transform_or_mars,,235,235,-0.013646202015334064,0.0009430446052729469,-0.003977292028189167,0.00144022349233755,0.14533292519666646,0.06303626272948659
bookmaker_dispersion_home_prob,weak,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,,235,235,-0.024040477044288244,-0.038398678004017306,-0.0070218175724096055,-0.016920333444996133,0.1958426307411324,0.21599671554098954
bullpen_quality_edge,weak,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,,235,235,-0.007424966840922642,-0.0074572723713047795,-0.002351871878555706,-0.0030678401749580364,0.06398352479421437,0.03415949967455956
lineup_quality_edge,weak,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,,235,235,-0.04074060958523429,-0.05353249742357302,-0.0181929873909413,-0.021122349495075937,0.15448947107621525,0.18589301883955078
lineup_uncertainty_index,weak,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,,235,235,-0.05879052245053573,-0.04633800949837108,-0.023081466682663115,-0.01867566714392918,0.23031959051117656,0.19695635794729927
market_movement_home_prob,weak,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,,235,235,-0.0024889748403753575,-0.0008190973690559433,-0.0015311114999363162,-5.487723368330366e-05,0.04690606975540368,0.030046121539399784
market_open_home_prob,weak,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,,235,235,-0.00285883956759847,-0.0044044649184524776,-0.001958770884199823,-0.0010512976821980269,0.09105698459546441,0.10719194445581837
park_run_factor,weak,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,,235,235,-0.010106104212395883,-0.010852793750077083,-0.0042895667268834925,-0.005227653601029225,0.08754732342631799,0.06410778894123309
recent_offense_edge,weak,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,,235,235,-0.00784226611701666,-0.009417328954732462,-0.003071926091657462,-0.0038738203882834332,0.03225655676168748,0.04846240518182032
team_strength_edge,weak,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,,235,235,-0.006903537405038462,-0.015523934938330819,-0.0038114341825510045,-0.004321088118868249,0.16036620836878646,0.08385803235466949
temperature_f,weak,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,,235,235,-0.004171330251102168,-0.0016287842840185807,-0.0017346216561736072,-0.0011256687363336848,0.04476298839831294,0.0322841532161654
wind_out_mph,weak,linear,keep_linear,0.0,0.0,0.0,0.0,0,keep_linear,,235,235,-0.024873202121733495,-0.005581553855392829,-0.008839155074795296,-0.0023290712898609844,0.11165791620223775,0.12343196636899767
